timestamp,AAPL,AMZN,MSFT
1998-10-19,0.2838211,0.88125,15.95433
1998-10-20,0.2729413,0.8895834,15.5378
1998-10-21,0.2809829,0.9166667,16.4968
1998-10-22,0.2781447,0.9557292,17.04895
1998-10-23,0.268684,0.9677084,16.48711
1998-10-26,0.2833481,1.011979,16.59367
1998-10-27,0.2667918,0.9692709,16.34181
1998-10-28,0.2786177,0.9755209,16.38056
1998-10-29,0.2757795,1.054167,16.52586
1998-10-30,0.2809829,1.053646,16.40962
1998-11-02,0.2847672,1.091667,16.39993
1998-11-03,0.2861863,1.050521,16.30306
1998-11-04,0.2928088,1.081771,16.3515
1998-11-05,0.2890245,1.070833,16.48711
1998-11-06,0.2880784,1.038021,16.9424
1998-11-09,0.2771986,1.057292,17.15551
1998-11-10,0.2658457,1.097917,17.36862
1998-11-11,0.2540199,1.055208,17.21363
1998-11-12,0.2573311,1.091667,16.85522
1998-11-13,0.2701031,1.064583,17.04895
1998-11-16,0.2724682,1.052083,16.8649
1998-11-17,0.2634806,1.2375,17.33956
1998-11-18,0.2682109,1.366667,17.01021
1998-11-19,0.2705761,1.277083,17.32019
1998-11-20,0.2672649,1.505208,17.61079
1998-11-23,0.2743604,1.816667,18.47293
1998-11-24,0.2719952,1.7875,18.8604
1998-11-25,0.2658457,1.752604,19.25757
1998-11-27,0.2653727,1.805208,19.84847
1998-11-30,0.241721,1.6,18.90884
1998-12-01,0.2582772,1.745833,20.07127
1998-12-02,0.2724682,1.6625,19.64504
1998-12-03,0.2549659,1.579167,18.92822
1998-12-04,0.2478704,1.570833,19.74191
1998-12-07,0.255439,1.591667,20.70092
1998-12-08,0.242667,1.700521,20.33282
1998-12-09,0.242194,1.802083,20.71061
1998-12-10,0.242194,1.776042,20.39094
1998-12-11,0.255439,1.858333,20.76873
1998-12-14,0.2459783,1.852083,19.8291
1998-12-15,0.2540199,2.022917,20.43937
1998-12-16,0.2483435,2.408334,20.72998
1998-12-17,0.2530738,2.30625,20.82685
1998-12-18,0.2663188,2.389063,21.35963
1998-12-21,0.2653727,2.65625,21.76648
1998-12-22,0.2876054,2.686459,21.4565
1998-12-23,0.3013234,2.708333,22.25082
1998-12-24,0.2970661,2.706771,21.9699
1998-12-28,0.309365,2.932813,22.06677
1998-12-29,0.308892,2.769271,21.77617
1998-12-30,0.3032155,2.677083,21.54368
1998-12-31,0.309838,2.677083,21.49524
1999-01-04,0.3122032,2.957813,21.85366
1999-01-05,0.3278134,3.1125,22.70611
1999-01-06,0.3159875,3.45,23.44231
1999-01-07,0.3405853,3.971875,23.32607
1999-01-08,0.3405853,4.00625,23.2292
1999-01-11,0.3472078,4.615625,22.8611
1999-01-12,0.3490999,4.084375,22.03771
1999-01-13,0.3519382,3.7,22.28957
1999-01-14,0.3131493,3.45,21.9699
1999-01-15,0.3126762,3.509375,23.20983
1999-01-19,0.309365,3.495312,24.1204
1999-01-20,0.3069998,2.825,25.20533
1999-01-21,0.2937548,2.65,24.53693
1999-01-22,0.2932818,3.075,24.21726
1999-01-25,0.2980121,2.809375,25.08909
1999-01-26,0.3065268,2.878125,26.59056
1999-01-27,0.3036886,3.140625,26.13527
1999-01-28,0.309365,3.071875,26.96835
